model,metric,value
random,f1,0.5034246575342466
random,accuracy,0.5
random,precision,0.5034246575342466
random,recall,0.5034246575342466
most_frequent,f1,0.0
most_frequent,accuracy,0.496551724137931
most_frequent,precision,0.0
most_frequent,recall,0.0
logistic_regression,f1,0.21563342318059298
logistic_regression,accuracy,0.4982758620689655
logistic_regression,precision,0.5063291139240507
logistic_regression,recall,0.136986301369863
pretrained,f1,0.35714285714285715
pretrained,accuracy,0.5655172413793104
pretrained,precision,0.7
pretrained,recall,0.23972602739726026
